index,filename,dimensions,format
0,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt04_n.dds,512x512,BC1_UNORM
0,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt04_n.dds,1024x1024,BC7_UNORM
1,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_a0_wara1_n.dds,512x256,BC1_UNORM
1,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_a0_wara1_n.dds,1024x512,BC7_UNORM
2,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_a1_g0001_n.dds,256x512,BC1_UNORM
2,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_a1_g0001_n.dds,512x1024,BC7_UNORM
3,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_b1_clo01_n.dds,1024x1024,BC1_UNORM
3,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_b1_clo01_n.dds,2048x2048,BC7_UNORM
4,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_b1_sym01_n.dds,512x512,BC1_UNORM
4,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_b1_sym01_n.dds,1024x1024,BC7_UNORM
5,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_b1_sym02_n.dds,1024x1024,BC1_UNORM
5,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_b1_sym02_n.dds,2048x2048,BC7_UNORM
6,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_i0_bed1a_n.dds,512x256,BC1_UNORM
6,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_i0_bed1a_n.dds,1024x512,BC7_UNORM
7,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_i0_dsk1a_n.dds,256x256,BC1_UNORM
7,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_i0_dsk1a_n.dds,512x512,BC7_UNORM
8,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\common\texture\r200_i0_rug1a_n.dds,1024x512,BC1_UNORM
8,karts_upscales\bg\ex1\01_roc_r2\common\texture\r200_i0_rug1a_n.dds,2048x1024,BC7_UNORM
9,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_gem01_n.dds,256x256,BC1_UNORM
9,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_gem01_n.dds,512x512,BC7_UNORM
10,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_mtl01_n.dds,256x256,BC1_UNORM
10,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_mtl01_n.dds,512x512,BC7_UNORM
11,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a3_dor01_n.dds,512x512,BC1_UNORM
11,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a3_dor01_n.dds,1024x1024,BC7_UNORM
12,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a3_kag01_n.dds,1024x512,BC1_UNORM
12,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a3_kag01_n.dds,2048x1024,BC7_UNORM
13,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_grd01_n.dds,512x512,BC1_UNORM
13,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_grd01_n.dds,1024x1024,BC7_UNORM
14,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_hal01_n.dds,2048x2048,BC1_UNORM
14,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_hal01_n.dds,4096x4096,BC7_UNORM
15,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_stn01_n.dds,512x512,BC1_UNORM
15,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_stn01_n.dds,1024x1024,BC7_UNORM
16,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_stn02_n.dds,512x512,BC1_UNORM
16,karts_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_stn02_n.dds,1024x1024,BC7_UNORM
17,7-0_bg_same_as_my_upscales\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a5_can01_n.dds,1024x512,BC1_UNORM
