index,filename,dimensions,format
17,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_d.dds,512x512,BC1_UNORM
17,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_d.dds,1024x1024,BC1_UNORM
18,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_n.dds,512x512,BC1_UNORM
18,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_n.dds,1024x1024,BC1_UNORM
19,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_s.dds,256x256,BC1_UNORM
19,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_s.dds,512x512,BC1_UNORM
35,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_reli1_s.dds,512x512,BC1_UNORM
35,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_d1_reli1_s.dds,256x256,BC1_UNORM
48,6-3_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a3_stn08_s.dds,256x512,BC1_UNORM
48,7-0_output\bg\ex1\01_roc_r2\dun\r2d2\texture\r2d2_a3_stn08_s.dds,512x512,BC1_UNORM
95,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass1.dds,2048x128,BC3_UNORM
95,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass1.dds,4096x256,BC7_UNORM
96,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass2.dds,2048x512,BC1_UNORM
96,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass2.dds,4096x1024,BC7_UNORM
128,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_d1_iron1_s.dds,256x512,BC1_UNORM
128,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_d1_iron1_s.dds,512x512,BC1_UNORM
135,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_rivr1_n.dds,1024x1024,BC1_UNORM
135,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_rivr1_n.dds,2048x2048,BC1_UNORM
137,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_d.dds,1024x1024,BC1_UNORM
137,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_d.dds,2048x2048,BC1_UNORM
138,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_n.dds,1024x1024,BC1_UNORM
138,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_n.dds,2048x2048,BC1_UNORM
139,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_s.dds,1024x1024,BC1_UNORM
139,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_s.dds,2048x2048,BC1_UNORM
140,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_crst1_n.dds,1024x1024,BC3_UNORM
140,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_crst1_n.dds,2048x2048,BC7_UNORM
143,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_d.dds,2048x2048,BC1_UNORM
143,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_d.dds,4096x4096,BC1_UNORM
144,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_n.dds,2048x2048,BC1_UNORM
144,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_n.dds,4096x4096,BC7_UNORM
147,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_snow1_s.dds,512x512,BC1_UNORM
147,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_snow1_s.dds,1024x1024,BC1_UNORM
150,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t2_iwa01_s.dds,1024x1024,BC1_UNORM
150,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t2_iwa01_s.dds,2048x2048,BC1_UNORM
152,6-3_output\bg\ex1\01_roc_r2\fld\r2f1\texture\_n_whitecap_r_r2.dds,1024x1024,BC1_UNORM
152,7-0_output\bg\ex1\01_roc_r2\fld\r2f1\texture\_n_whitecap_r_r2.dds,2048x2048,BC1_UNORM
158,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe3_n.dds,512x512,BC1_UNORM
158,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe3_n.dds,1024x1024,BC1_UNORM
159,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe3_s.dds,512x512,BC1_UNORM
159,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe3_s.dds,1024x1024,BC1_UNORM
160,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe4_n.dds,512x512,BC1_UNORM
160,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe4_n.dds,1024x1024,BC1_UNORM
161,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe4_s.dds,512x512,BC1_UNORM
161,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe4_s.dds,1024x1024,BC1_UNORM
162,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_obi1b_d.dds,512x512,BC1_UNORM
162,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_obi1b_d.dds,1024x1024,BC1_UNORM
164,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_yuka6_n.dds,512x512,BC1_UNORM
164,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_yuka6_n.dds,1024x1024,BC1_UNORM
165,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_yuka6_s.dds,512x512,BC1_UNORM
165,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_yuka6_s.dds,1024x1024,BC1_UNORM
169,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_d.dds,256x256,BC1_UNORM
169,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_d.dds,512x512,BC1_UNORM
170,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_n.dds,256x256,BC1_UNORM
170,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_n.dds,512x512,BC1_UNORM
171,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_s.dds,256x256,BC1_UNORM
171,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_s.dds,512x512,BC1_UNORM
172,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_d.dds,512x512,BC1_UNORM
172,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_d.dds,1024x1024,BC1_UNORM
173,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_n.dds,512x512,BC1_UNORM
173,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_n.dds,1024x1024,BC1_UNORM
174,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_s.dds,512x512,BC1_UNORM
174,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_s.dds,1024x1024,BC1_UNORM
175,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_d.dds,256x256,BC1_UNORM
175,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_d.dds,512x512,BC1_UNORM
176,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_n.dds,256x256,BC1_UNORM
176,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_n.dds,512x512,BC1_UNORM
177,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_s.dds,256x256,BC1_UNORM
177,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_s.dds,512x512,BC1_UNORM
178,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl3a_d.dds,256x256,BC1_UNORM
178,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl3a_d.dds,512x512,BC1_UNORM
179,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl3a_n.dds,256x256,BC1_UNORM
179,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl3a_n.dds,512x512,BC1_UNORM
180,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl3a_s.dds,256x256,BC1_UNORM
180,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl3a_s.dds,512x512,BC1_UNORM
181,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl4a_d.dds,512x512,BC1_UNORM
181,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl4a_d.dds,1024x1024,BC1_UNORM
182,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl4a_n.dds,512x512,BC1_UNORM
182,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl4a_n.dds,1024x1024,BC1_UNORM
183,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl4a_s.dds,512x512,BC1_UNORM
183,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl4a_s.dds,1024x1024,BC1_UNORM
184,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1a_d.dds,512x512,BC1_UNORM
184,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1a_d.dds,1024x1024,BC1_UNORM
185,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1a_s.dds,512x512,BC1_UNORM
185,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1a_s.dds,1024x1024,BC1_UNORM
186,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1b_d.dds,512x512,BC1_UNORM
186,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1b_d.dds,1024x1024,BC1_UNORM
187,6-3_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1c_d.dds,512x512,BC1_UNORM
187,7-0_output\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_obi1c_d.dds,1024x1024,BC1_UNORM
