index,filename,dimensions,format
0,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_bait1_s.dds,128x128,BC1_UNORM
0,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_bait1_s.dds,128x128,BC7_UNORM
1,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_kami1_s.dds,256x256,BC1_UNORM
1,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_kami1_s.dds,256x256,BC7_UNORM
2,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_obj01_s.dds,256x256,BC1_UNORM
2,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_obj01_s.dds,256x256,BC7_UNORM
3,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_stv2a_s.dds,256x256,BC3_UNORM
3,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_stv2a_s.dds,256x256,BC7_UNORM
4,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_d.dds,256x256,BC1_UNORM
4,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_d.dds,256x256,BC7_UNORM
5,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_n.dds,256x256,BC1_UNORM
5,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_n.dds,256x256,BC7_UNORM
6,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_s.dds,256x256,BC1_UNORM
6,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_s.dds,256x256,BC7_UNORM
7,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_wara1_d.dds,512x256,BC1_UNORM
7,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_wara1_d.dds,512x256,BC7_UNORM
8,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC3_UNORM
8,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC7_UNORM
9,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0001_s.dds,128x256,BC1_UNORM
9,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0001_s.dds,128x256,BC7_UNORM
10,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0002_s.dds,512x512,BC1_UNORM
10,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0002_s.dds,512x512,BC7_UNORM
11,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC3_UNORM
11,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC7_UNORM
12,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0003_s.dds,512x256,BC3_UNORM
12,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0003_s.dds,512x256,BC7_UNORM
13,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0004_s.dds,256x256,BC1_UNORM
13,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0004_s.dds,256x256,BC7_UNORM
14,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0005_n.dds,256x256,BC1_UNORM
14,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0005_n.dds,256x256,BC7_UNORM
15,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0005_s.dds,256x256,BC3_UNORM
15,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_a1_g0005_s.dds,256x256,BC7_UNORM
16,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_b0_door1_n.dds,512x512,BC1_UNORM
16,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_b0_door1_n.dds,512x512,BC7_UNORM
20,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_b0_wind2_n.dds,128x128,BC3_UNORM
20,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_b0_wind2_n.dds,128x128,BC1_UNORM
21,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_t0_snw1a_s.dds,512x512,BC1_UNORM
21,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_t0_snw1a_s.dds,512x512,BC7_UNORM
22,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_z0_lmp1a_s.dds,256x256,BC3_UNORM
22,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_z0_lmp1a_s.dds,256x256,BC7_UNORM
23,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_z1_lmp1a_n.dds,256x512,BC1_UNORM
23,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_z1_lmp1a_n.dds,256x512,BC7_UNORM
24,6-3_output\bg\ex1\01_roc_r2\common\texture\r200_z1_lmp1a_s.dds,256x512,BC3_UNORM
24,7-0_output\bg\ex1\01_roc_r2\common\texture\r200_z1_lmp1a_s.dds,256x512,BC7_UNORM
25,6-3_output\bg\ex1\01_roc_r2\common\texture\_r200_p1_giza1_d.dds,128x256,BC1_UNORM
25,7-0_output\bg\ex1\01_roc_r2\common\texture\_r200_p1_giza1_d.dds,128x256,BC7_UNORM
26,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a1_lam01_n.dds,512x512,BC3_UNORM
26,7-0_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a1_lam01_n.dds,512x512,BC7_UNORM
27,6-3_output\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_itm01_n.dds,512x512,BC3_UNORM
