index,filename,dimensions,format
0,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_box1a_n.dds,256x128,BC1_UNORM
0,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_box1a_n.dds,256x128,BC1_UNORM
1,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_carpt_n.dds,256x128,BC1_UNORM
1,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_carpt_n.dds,256x128,BC1_UNORM
2,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_cst1a_n.dds,256x256,BC1_UNORM
2,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_cst1a_n.dds,256x256,BC1_UNORM
3,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_obj01_n.dds,512x512,BC1_UNORM
3,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_obj01_n.dds,512x512,BC1_UNORM
4,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_stv1a_n.dds,256x256,BC1_UNORM
4,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_stv1a_n.dds,256x256,BC1_UNORM
5,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_stv2a_n.dds,256x256,BC1_UNORM
5,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_stv2a_n.dds,256x256,BC1_UNORM
8,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt02_n.dds,256x256,BC1_UNORM
8,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt02_n.dds,256x256,BC1_UNORM
9,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt03_n.dds,512x512,BC1_UNORM
9,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt03_n.dds,512x512,BC1_UNORM
10,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt05_n.dds,256x256,BC1_UNORM
10,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt05_n.dds,256x256,BC1_UNORM
13,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_wol1a_n.dds,256x256,BC1_UNORM
13,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_wol1a_n.dds,256x256,BC1_UNORM
14,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_clt01_n.dds,256x128,BC1_UNORM
14,7-0\bg\ex1\01_roc_r2\common\texture\r200_a1_clt01_n.dds,256x128,BC1_UNORM
15,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_g0002_n.dds,512x512,BC1_UNORM
15,7-0\bg\ex1\01_roc_r2\common\texture\r200_a1_g0002_n.dds,512x512,BC1_UNORM
17,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_g0004_d.dds,512x512,BC1_UNORM
17,7-0\bg\ex1\01_roc_r2\common\texture\r200_a1_g0004_d.dds,512x512,BC1_UNORM
18,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_g0004_n.dds,512x512,BC1_UNORM
18,7-0\bg\ex1\01_roc_r2\common\texture\r200_a1_g0004_n.dds,512x512,BC1_UNORM
20,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_g0006_n.dds,256x256,BC1_UNORM
20,7-0\bg\ex1\01_roc_r2\common\texture\r200_a1_g0006_n.dds,256x256,BC1_UNORM
21,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_g0008_n.dds,512x256,BC1_UNORM
