filename,dimensions,format
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a3_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a4_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a5_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a6_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0003_a7_d.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0004_a0_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_b0_m0008_a0_n.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a4_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a5_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a6_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a7_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a8_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0d_n.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\general\0003\texture\com_b0_m0003_0b_d.dds,256x256,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\mantion\texture\man_c0_chr03_n.dds,512x512,BC7_UNORM
7-0_dim_same_type_difference\bgcommon\hou\common\mantion\texture\man_c0_com0001_0a_n.dds,512x512,BC7_UNORM
