index,filename,dimensions,format
0,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0001_0a_d.dds,256x256,BC1_UNORM
0,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0001_0a_d.dds,256x256,BC1_UNORM
1,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0001_0a_n.dds,256x256,BC1_UNORM
1,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0001_0a_n.dds,256x256,BC7_UNORM
2,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0002_0a_d.dds,128x128,BC1_UNORM
2,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0002_0a_d.dds,128x128,BC1_UNORM
3,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0002_0a_n.dds,128x128,BC1_UNORM
3,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0002_0a_n.dds,128x128,BC1_UNORM
4,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0003_0a_d.dds,256x256,BC1_UNORM
4,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0003_0a_d.dds,256x256,BC1_UNORM
5,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0003_0a_n.dds,256x256,BC1_UNORM
5,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0003_0a_n.dds,256x256,BC1_UNORM
6,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0004_0a_d.dds,256x256,BC1_UNORM
6,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0004_0a_d.dds,256x256,BC1_UNORM
7,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0004_0a_n.dds,256x256,BC1_UNORM
7,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0004_0a_n.dds,256x256,BC1_UNORM
8,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0005_0a_d.dds,256x256,BC1_UNORM
8,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0005_0a_d.dds,256x256,BC1_UNORM
9,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0005_0a_n.dds,256x256,BC1_UNORM
9,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0005_0a_n.dds,256x256,BC1_UNORM
10,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0006_0a_d.dds,256x256,BC1_UNORM
10,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0006_0a_d.dds,256x256,BC1_UNORM
11,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0006_0a_n.dds,256x256,BC1_UNORM
11,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0006_0a_n.dds,256x256,BC1_UNORM
12,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0007_0a_d.dds,256x256,BC1_UNORM
12,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0007_0a_d.dds,256x256,BC1_UNORM
13,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0007_0a_n.dds,256x256,BC1_UNORM
13,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0007_0a_n.dds,256x256,BC1_UNORM
14,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0008_0a_d.dds,256x256,BC3_UNORM
14,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0008_0a_d.dds,256x256,BC7_UNORM
15,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0008_0a_n.dds,256x256,BC1_UNORM
15,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0008_0a_n.dds,256x256,BC1_UNORM
16,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0009_0a_d.dds,256x256,BC3_UNORM
16,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0009_0a_d.dds,256x256,BC7_UNORM
17,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0009_0a_n.dds,256x256,BC1_UNORM
17,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0009_0a_n.dds,256x256,BC1_UNORM
18,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0010_0a_d.dds,256x256,BC3_UNORM
18,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0010_0a_d.dds,256x256,BC7_UNORM
19,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0010_0a_n.dds,256x256,BC1_UNORM
19,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0010_0a_n.dds,256x256,BC1_UNORM
20,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_002_obj0001_0a_d.dds,512x512,BC1_UNORM
