index,filename,dimensions,format
1,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0001_0a_n.dds,256x256,BC1_UNORM
1,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0001_0a_n.dds,256x256,BC7_UNORM
14,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0008_0a_d.dds,256x256,BC3_UNORM
14,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0008_0a_d.dds,256x256,BC7_UNORM
16,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0009_0a_d.dds,256x256,BC3_UNORM
16,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0009_0a_d.dds,256x256,BC7_UNORM
18,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0010_0a_d.dds,256x256,BC3_UNORM
18,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_001_obj0010_0a_d.dds,256x256,BC7_UNORM
33,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0001_0a_n.dds,256x256,BC1_UNORM
33,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0001_0a_n.dds,256x256,BC7_UNORM
35,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0002_0a_n.dds,256x256,BC1_UNORM
35,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0002_0a_n.dds,256x256,BC7_UNORM
37,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0003_0a_n.dds,256x256,BC1_UNORM
37,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0003_0a_n.dds,256x256,BC7_UNORM
39,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0004_0a_n.dds,256x256,BC1_UNORM
39,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0004_0a_n.dds,256x256,BC7_UNORM
41,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0005_0a_n.dds,256x256,BC1_UNORM
41,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0005_0a_n.dds,256x256,BC7_UNORM
43,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0006_0a_n.dds,256x256,BC1_UNORM
43,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_003_obj0006_0a_n.dds,256x256,BC7_UNORM
64,6-3\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_com_stn0004_0a_n.dds,512x512,BC1_UNORM
64,7-0\bg\ffxiv\est_e1\hou\dyna\common\texture\e1h0_com_stn0004_0a_n.dds,512x512,BC7_UNORM
88,6-3\bg\ffxiv\est_e1\hou\dyna\c_fnc\0003\texture\e1h0_f_fnc0003_0a_n.dds,512x512,BC3_UNORM
88,7-0\bg\ffxiv\est_e1\hou\dyna\c_fnc\0003\texture\e1h0_f_fnc0003_0a_n.dds,512x512,BC7_UNORM
102,6-3\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_a0_itm01_d.dds,512x512,BC1_UNORM
102,7-0\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_a0_itm01_d.dds,512x512,BC7_UNORM
146,6-3\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_aa_itm17_d.dds,256x256,BC1_UNORM
146,7-0\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_aa_itm17_d.dds,256x256,BC7_UNORM
152,6-3\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_aa_itm33_d.dds,256x256,BC1_UNORM
152,7-0\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_aa_itm33_d.dds,256x256,BC7_UNORM
155,6-3\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_b0_dor01_n.dds,512x512,BC3_UNORM
155,7-0\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_b0_dor01_n.dds,512x512,BC7_UNORM
231,6-3\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_p0_plt01_d.dds,512x512,BC1_UNORM
231,7-0\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_p0_plt01_d.dds,512x512,BC7_UNORM
232,6-3\bg\ffxiv\est_e1\hou\e1h1\texture\e1h1_p0_plt02_d.dds,512x512,BC1_UNORM
