Group ID,Filename,Folder,Size (KB),Dimensions,Match %

0,v01_c0101a0003_nek_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\accessory\a0003\texture,13,128 x 64,98

0,v01_c0101a0003_nek_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\accessory\a0003\texture,13,128 x 64,98

1,v01_c0101a0019_rir_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\accessory\a0019\texture,6,64 x 64,98

1,v01_c0101a0019_rir_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\accessory\a0019\texture,6,64 x 64,98

2,v01_c0101a0026_wrs_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\accessory\a0026\texture,10,64 x 128,98

2,v01_c0101a0026_wrs_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\accessory\a0026\texture,10,64 x 128,98

3,v01_c0101a0052_ear_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\accessory\a0052\texture,5,64 x 64,98

3,v01_c0101a0052_ear_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\accessory\a0052\texture,5,64 x 64,98

4,v01_c0101a0059_ear_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\accessory\a0059\texture,7,64 x 64,98

4,v01_c0101a0059_ear_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\accessory\a0059\texture,7,64 x 64,98

5,v01_c0101a0069_rir_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\accessory\a0069\texture,7,64 x 64,98

5,v01_c0101a0069_rir_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\accessory\a0069\texture,7,64 x 64,98

6,v01_c0101a0088_nek_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_d\accessory\a0088\texture,10,64 x 128,98

6,v01_c0101a0088_nek_d.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_d\accessory\a0088\texture,11,64 x 128,98

7,v01_c0101a0093_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0093\texture,5,64 x 64,98

7,v01_c0101a0093_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0093\texture,5,64 x 64,98

8,v01_c0101a0094_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0094\texture,4,64 x 64,98

8,v01_c0101a0094_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0094\texture,5,64 x 64,98

9,v01_c0101a0095_rir_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0095\texture,3,64 x 64,98

9,v01_c0101a0095_rir_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0095\texture,4,64 x 64,98

10,v01_c0101a0096_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0096\texture,4,64 x 64,98

10,v01_c0101a0096_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0096\texture,5,64 x 64,98

11,v01_c0101a0107_rir_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0107\texture,3,64 x 64,98

11,v01_c0101a0107_rir_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0107\texture,4,64 x 64,98

12,v01_c0101a0109_nek_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_s\accessory\a0109\texture,7,64 x 128,98

12,v01_c0101a0109_nek_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\accessory\a0109\texture,8,64 x 128,98

13,v01_c0101a0111_rir_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0111\texture,3,64 x 64,98

13,v01_c0101a0111_rir_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0111\texture,4,64 x 64,98

14,v01_c0101a0114_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0114\texture,4,64 x 64,98

14,v01_c0101a0114_ear_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0114\texture,4,64 x 64,98

15,v01_c0101a0137_ear_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_s\accessory\a0137\texture,7,64 x 128,98

15,v01_c0101a0137_ear_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\accessory\a0137\texture,8,64 x 128,98

16,v01_c0101a0143_nek_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\accessory\a0143\texture,6,64 x 128,98

16,v01_c0101a0143_nek_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\accessory\a0143\texture,7,64 x 128,98

17,v01_c0101e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_s\equipment\e0010\texture,65,256 x 256,98

17,v01_c0801e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,63,256 x 256,98

17,v01_c0101e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,63,256 x 256,99

17,v02_c0801e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,62,256 x 256,98

17,v02_c0101e0010_met_s.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_s\equipment\e0010\texture,62,256 x 256,99

18,v01_c0101e0164_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0164\texture,50,256 x 256,98

18,v01_c0101e0164_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0164\texture,50,256 x 256,98

19,v01_c0101e0170_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0170\texture,63,256 x 256,98

