index,filename,dimensions,format
25,6-3\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_d.dds,512x512,BC1_UNORM
25,7-0\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_d.dds,1024x1024,BC1_UNORM
26,6-3\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_n.dds,512x512,BC1_UNORM
26,7-0\bg\ex1\01_roc_r2\common\texture\r200_b0_kabe2_n.dds,1024x1024,BC1_UNORM
307,6-3\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass1.dds,2048x128,BC3_UNORM
307,7-0\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass1.dds,4096x256,BC7_UNORM
308,6-3\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass2.dds,2048x512,BC1_UNORM
308,7-0\bg\ex1\01_roc_r2\fld\r2f1\grass\_grass2.dds,4096x1024,BC7_UNORM
394,6-3\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_rivr1_n.dds,1024x1024,BC1_UNORM
394,7-0\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_rivr1_n.dds,2048x2048,BC1_UNORM
396,6-3\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_d.dds,1024x1024,BC1_UNORM
396,7-0\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_d.dds,2048x2048,BC1_UNORM
397,6-3\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_n.dds,1024x1024,BC1_UNORM
397,7-0\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t0_snow2_n.dds,2048x2048,BC1_UNORM
398,6-3\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_crst1_n.dds,1024x1024,BC3_UNORM
398,7-0\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_crst1_n.dds,2048x2048,BC7_UNORM
400,6-3\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_d.dds,2048x2048,BC1_UNORM
400,7-0\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_d.dds,4096x4096,BC1_UNORM
401,6-3\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_n.dds,2048x2048,BC1_UNORM
401,7-0\bg\ex1\01_roc_r2\fld\r2f1\texture\r2f1_t1_gake4_n.dds,4096x4096,BC7_UNORM
408,6-3\bg\ex1\01_roc_r2\fld\r2f1\texture\_n_whitecap_r_r2.dds,1024x1024,BC1_UNORM
408,7-0\bg\ex1\01_roc_r2\fld\r2f1\texture\_n_whitecap_r_r2.dds,2048x2048,BC1_UNORM
420,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe3_n.dds,512x512,BC1_UNORM
420,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe3_n.dds,1024x1024,BC1_UNORM
421,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe4_n.dds,512x512,BC1_UNORM
421,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_kabe4_n.dds,1024x1024,BC1_UNORM
422,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_obi1b_d.dds,512x512,BC1_UNORM
422,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_obi1b_d.dds,1024x1024,BC1_UNORM
423,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_yuka6_n.dds,512x512,BC1_UNORM
423,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2e0_a0_yuka6_n.dds,1024x1024,BC1_UNORM
427,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_d.dds,256x256,BC1_UNORM
427,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_d.dds,512x512,BC1_UNORM
428,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_n.dds,256x256,BC1_UNORM
428,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mor1a_n.dds,512x512,BC1_UNORM
429,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_d.dds,512x512,BC1_UNORM
429,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_d.dds,1024x1024,BC1_UNORM
430,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_n.dds,512x512,BC1_UNORM
430,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl1a_n.dds,1024x1024,BC1_UNORM
431,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_d.dds,256x256,BC1_UNORM
431,7-0\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_d.dds,512x512,BC1_UNORM
432,6-3\bg\ex1\01_roc_r2\twn\common\texture\r2t0_a0_mtl2a_n.dds,256x256,BC1_UNORM
