index,filename,dimensions,format
6,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_d.dds,256x256,BC1_UNORM
6,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_d.dds,256x256,BC7_UNORM
7,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_n.dds,256x256,BC1_UNORM
7,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_tnt01_n.dds,256x256,BC7_UNORM
11,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_wara1_d.dds,512x256,BC1_UNORM
11,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_wara1_d.dds,512x256,BC7_UNORM
12,6-3\bg\ex1\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC3_UNORM
12,7-0\bg\ex1\01_roc_r2\common\texture\r200_a0_wol1a_d.dds,256x256,BC7_UNORM
16,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC3_UNORM
16,7-0\bg\ex1\01_roc_r2\common\texture\r200_a1_g0003_n.dds,512x256,BC7_UNORM
19,6-3\bg\ex1\01_roc_r2\common\texture\r200_a1_g0005_n.dds,256x256,BC1_UNORM
19,7-0\bg\ex1\01_roc_r2\common\texture\r200_a1_g0005_n.dds,256x256,BC7_UNORM
24,6-3\bg\ex1\01_roc_r2\common\texture\r200_b0_door1_n.dds,512x512,BC1_UNORM
24,7-0\bg\ex1\01_roc_r2\common\texture\r200_b0_door1_n.dds,512x512,BC7_UNORM
27,6-3\bg\ex1\01_roc_r2\common\texture\r200_b0_wind2_n.dds,128x128,BC3_UNORM
27,7-0\bg\ex1\01_roc_r2\common\texture\r200_b0_wind2_n.dds,128x128,BC1_UNORM
36,6-3\bg\ex1\01_roc_r2\common\texture\r200_z1_lmp1a_n.dds,256x512,BC1_UNORM
36,7-0\bg\ex1\01_roc_r2\common\texture\r200_z1_lmp1a_n.dds,256x512,BC7_UNORM
37,6-3\bg\ex1\01_roc_r2\common\texture\_r200_p1_giza1_d.dds,128x256,BC1_UNORM
37,7-0\bg\ex1\01_roc_r2\common\texture\_r200_p1_giza1_d.dds,128x256,BC7_UNORM
38,6-3\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a1_lam01_n.dds,512x512,BC3_UNORM
38,7-0\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a1_lam01_n.dds,512x512,BC7_UNORM
40,6-3\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_itm01_n.dds,512x512,BC3_UNORM
40,7-0\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_itm01_n.dds,512x512,BC7_UNORM
42,6-3\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_skl01_n.dds,512x512,BC3_UNORM
42,7-0\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_skl01_n.dds,512x512,BC7_UNORM
43,6-3\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_skl02_n.dds,256x256,BC3_UNORM
43,7-0\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a2_skl02_n.dds,256x256,BC7_UNORM
45,6-3\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_flag1_d.dds,1024x512,BC1_UNORM
45,7-0\bg\ex1\01_roc_r2\dun\r2d1\texture\r2d1_a4_flag1_d.dds,1024x512,BC7_UNORM
