index,filename,dimensions,format
0,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0000_a0_d.dds,512x512,BC1_UNORM
0,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0000_a0_d.dds,512x512,BC1_UNORM
1,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0000_a1_d.dds,8x8,BC1_UNORM
1,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0000_a1_d.dds,8x8,BC1_UNORM
2,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_d.dds,512x512,BC1_UNORM
2,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_d.dds,512x512,BC1_UNORM
3,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC3_UNORM
3,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC7_UNORM
4,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_d.dds,512x512,BC1_UNORM
4,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_d.dds,512x512,BC1_UNORM
5,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC3_UNORM
5,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC7_UNORM
6,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a0_d.dds,512x512,BC1_UNORM
6,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a0_d.dds,512x512,BC1_UNORM
7,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a0_n.dds,512x512,BC1_UNORM
7,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a0_n.dds,512x512,BC1_UNORM
8,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a1_d.dds,512x512,BC1_UNORM
8,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a1_d.dds,512x512,BC1_UNORM
9,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a1_n.dds,512x512,BC1_UNORM
9,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0002_a1_n.dds,512x512,BC1_UNORM
10,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_d.dds,512x512,BC1_UNORM
10,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_d.dds,512x512,BC1_UNORM
11,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC3_UNORM
11,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC7_UNORM
12,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_d.dds,512x512,BC1_UNORM
12,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_d.dds,512x512,BC1_UNORM
13,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_n.dds,512x512,BC1_UNORM
13,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_n.dds,512x512,BC7_UNORM
14,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC3_UNORM
14,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC7_UNORM
