index,filename,dimensions,format
346,6-3_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0c_d.dds,256x256,BC1_UNORM
346,7-0_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0c_d.dds,512x512,BC1_UNORM
347,6-3_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0c_n.dds,256x256,BC1_UNORM
347,7-0_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0c_n.dds,512x512,BC1_UNORM
348,6-3_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0d_d.dds,256x256,BC1_UNORM
348,7-0_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0d_d.dds,512x512,BC1_UNORM
349,6-3_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0d_n.dds,256x256,BC1_UNORM
349,7-0_match\bgcommon\hou\craft\bil\01\0001\texture\rfc_t4_m0001_0d_n.dds,512x512,BC1_UNORM
350,6-3_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0c_d.dds,256x256,BC1_UNORM
350,7-0_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0c_d.dds,512x512,BC1_UNORM
351,6-3_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0c_n.dds,256x256,BC1_UNORM
351,7-0_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0c_n.dds,512x512,BC1_UNORM
352,6-3_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0d_d.dds,256x256,BC1_UNORM
352,7-0_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0d_d.dds,512x512,BC1_UNORM
353,6-3_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0d_n.dds,256x256,BC1_UNORM
353,7-0_match\bgcommon\hou\craft\bil\01\0002\texture\rfc_t4_m0002_0d_n.dds,512x512,BC1_UNORM
354,6-3_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0c_d.dds,256x256,BC1_UNORM
354,7-0_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0c_d.dds,512x512,BC1_UNORM
355,6-3_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0c_n.dds,256x256,BC1_UNORM
355,7-0_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0c_n.dds,512x512,BC1_UNORM
356,6-3_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0d_d.dds,256x256,BC1_UNORM
356,7-0_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0d_d.dds,512x512,BC1_UNORM
357,6-3_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0d_n.dds,256x256,BC1_UNORM
357,7-0_match\bgcommon\hou\craft\bil\01\0003\texture\rfc_t4_m0003_0d_n.dds,512x512,BC1_UNORM
358,6-3_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0c_d.dds,256x256,BC1_UNORM
358,7-0_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0c_d.dds,512x512,BC1_UNORM
359,6-3_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0c_n.dds,256x256,BC1_UNORM
359,7-0_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0c_n.dds,512x512,BC1_UNORM
360,6-3_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0d_d.dds,256x256,BC1_UNORM
360,7-0_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0d_d.dds,512x512,BC1_UNORM
361,6-3_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0d_n.dds,256x256,BC1_UNORM
361,7-0_match\bgcommon\hou\craft\bil\01\0004\texture\rfc_t4_m0004_0d_n.dds,512x512,BC1_UNORM
525,6-3_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0a_d.dds,256x256,BC3_UNORM
525,7-0_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0a_d.dds,512x512,BC7_UNORM
526,6-3_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0a_n.dds,256x256,BC1_UNORM
526,7-0_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0a_n.dds,512x512,BC1_UNORM
527,6-3_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0b_d.dds,256x256,BC3_UNORM
527,7-0_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0b_d.dds,512x512,BC7_UNORM
528,6-3_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0b_n.dds,256x256,BC1_UNORM
528,7-0_match\bgcommon\hou\craft\bil\04\0001\texture\fnc_t4_m0001_0b_n.dds,512x512,BC1_UNORM
3023,6-3_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0a_d.dds,1024x1024,BC3_UNORM
3023,7-0_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0a_d.dds,512x512,BC7_UNORM
3024,6-3_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0a_n.dds,1024x1024,BC1_UNORM
3024,7-0_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0a_n.dds,512x512,BC1_UNORM
3025,6-3_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0c_d.dds,256x256,BC3_UNORM
3025,7-0_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0c_d.dds,128x128,BC7_UNORM
3026,6-3_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0c_n.dds,256x256,BC1_UNORM
3026,7-0_match\bgcommon\hou\indoor\general\0511\texture\fun_b0_m0511_0c_n.dds,128x128,BC1_UNORM
3027,6-3_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0a_d.dds,1024x512,BC1_UNORM
3027,7-0_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0a_d.dds,512x256,BC1_UNORM
3028,6-3_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0a_n.dds,1024x512,BC1_UNORM
3028,7-0_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0a_n.dds,512x256,BC7_UNORM
3029,6-3_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0b_d.dds,256x512,BC1_UNORM
3029,7-0_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0b_d.dds,128x256,BC1_UNORM
3030,6-3_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0b_n.dds,256x512,BC1_UNORM
3030,7-0_match\bgcommon\hou\indoor\general\0512\texture\fun_b0_m0512_0b_n.dds,128x256,BC7_UNORM
3318,6-3_match\bgcommon\hou\indoor\general\0647\texture\w1eb_f1_hanm1_n.dds,512x512,BC1_UNORM
3318,7-0_match\bgcommon\hou\indoor\general\0647\texture\w1eb_f1_hanm1_n.dds,512x256,BC1_UNORM
3408,6-3_match\bgcommon\hou\indoor\general\0667\texture\fun_b0_m0667_0a_n.dds,512x512,BC1_UNORM
3408,7-0_match\bgcommon\hou\indoor\general\0667\texture\fun_b0_m0667_0a_n.dds,256x256,BC7_UNORM
4367,6-3_match\bgcommon\hou\indoor\general\0968\texture\fun_b0_m0968_0c_d.dds,512x256,BC1_UNORM
4367,7-0_match\bgcommon\hou\indoor\general\0968\texture\fun_b0_m0968_0c_d.dds,256x128,BC1_UNORM
4368,6-3_match\bgcommon\hou\indoor\general\0968\texture\fun_b0_m0968_0c_n.dds,512x256,BC1_UNORM
4368,7-0_match\bgcommon\hou\indoor\general\0968\texture\fun_b0_m0968_0c_n.dds,256x128,BC1_UNORM
4417,6-3_match\bgcommon\hou\indoor\general\0986\texture\fun_b0_m0986_0a_d.dds,512x512,BC1_UNORM
4417,7-0_match\bgcommon\hou\indoor\general\0986\texture\fun_b0_m0986_0a_d.dds,256x256,BC1_UNORM
4418,6-3_match\bgcommon\hou\indoor\general\0986\texture\fun_b0_m0986_0a_n.dds,512x512,BC1_UNORM
4418,7-0_match\bgcommon\hou\indoor\general\0986\texture\fun_b0_m0986_0a_n.dds,256x256,BC1_UNORM
4439,6-3_match\bgcommon\hou\indoor\general\0992\texture\fun_b0_m0992_0a_d.dds,256x256,BC1_UNORM
4439,7-0_match\bgcommon\hou\indoor\general\0992\texture\fun_b0_m0992_0a_d.dds,512x512,BC1_UNORM
4498,6-3_match\bgcommon\hou\indoor\general\1011\texture\fun_b0_m1011_0a_d.dds,128x256,BC1_UNORM
4498,7-0_match\bgcommon\hou\indoor\general\1011\texture\fun_b0_m1011_0a_d.dds,256x512,BC7_UNORM
4633,6-3_match\bgcommon\hou\indoor\general\1039\texture\fun_b0_m1039_0a_n.dds,512x256,BC1_UNORM
4633,7-0_match\bgcommon\hou\indoor\general\1039\texture\fun_b0_m1039_0a_n.dds,1024x512,BC7_UNORM
7201,6-3_match\bgcommon\hou\outdoor\general\0006\texture\gar_b0_m0006_0a_d.dds,256x256,BC1_UNORM
7201,7-0_match\bgcommon\hou\outdoor\general\0006\texture\gar_b0_m0006_0a_d.dds,512x512,BC1_UNORM
7203,6-3_match\bgcommon\hou\outdoor\general\0007\texture\gar_b0_m0007_0a_d.dds,256x256,BC1_UNORM
7203,7-0_match\bgcommon\hou\outdoor\general\0007\texture\gar_b0_m0007_0a_d.dds,512x512,BC7_UNORM
7893,6-3_match\bgcommon\hou\outdoor\general\0225\texture\gar_b0_m0225_0b_n.dds,256x128,BC1_UNORM
7893,7-0_match\bgcommon\hou\outdoor\general\0225\texture\gar_b0_m0225_0b_n.dds,128x64,BC1_UNORM
7894,6-3_match\bgcommon\hou\outdoor\general\0225\texture\gar_b0_m0225_0d_n.dds,128x128,BC3_UNORM
7894,7-0_match\bgcommon\hou\outdoor\general\0225\texture\gar_b0_m0225_0d_n.dds,64x64,BC7_UNORM
8375,6-3_match\bgcommon\world\aet\001\texture\w_aet_001_cry_d.dds,512x512,BC1_UNORM
8375,7-0_match\bgcommon\world\aet\001\texture\w_aet_001_cry_d.dds,1024x1024,BC1_UNORM
8376,6-3_match\bgcommon\world\aet\001\texture\w_aet_001_cry_n.dds,512x512,BC1_UNORM
8376,7-0_match\bgcommon\world\aet\001\texture\w_aet_001_cry_n.dds,1024x1024,BC1_UNORM
8379,6-3_match\bgcommon\world\aet\001\texture\w_aet_002_cry_d.dds,512x512,BC1_UNORM
8379,7-0_match\bgcommon\world\aet\001\texture\w_aet_002_cry_d.dds,1024x1024,BC1_UNORM
8380,6-3_match\bgcommon\world\aet\002\texture\w_aet_002_cry_d.dds,512x512,BC1_UNORM
8380,7-0_match\bgcommon\world\aet\002\texture\w_aet_002_cry_d.dds,1024x1024,BC1_UNORM
8381,6-3_match\bgcommon\world\aet\002\texture\w_aet_002_cry_n.dds,512x512,BC1_UNORM
8381,7-0_match\bgcommon\world\aet\002\texture\w_aet_002_cry_n.dds,1024x1024,BC1_UNORM
8382,6-3_match\bgcommon\world\aet\003\texture\w_aet_003_cryb_d.dds,512x512,BC1_UNORM
8382,7-0_match\bgcommon\world\aet\003\texture\w_aet_003_cryb_d.dds,1024x1024,BC1_UNORM
8383,6-3_match\bgcommon\world\aet\003\texture\w_aet_003_cryb_n.dds,512x512,BC1_UNORM
8383,7-0_match\bgcommon\world\aet\003\texture\w_aet_003_cryb_n.dds,1024x1024,BC1_UNORM
8396,6-3_match\bgcommon\world\aet\005\texture\w_aet_005_cry_d.dds,512x512,BC1_UNORM
8396,7-0_match\bgcommon\world\aet\005\texture\w_aet_005_cry_d.dds,1024x1024,BC1_UNORM
8397,6-3_match\bgcommon\world\aet\005\texture\w_aet_005_cry_n.dds,512x512,BC1_UNORM
8397,7-0_match\bgcommon\world\aet\005\texture\w_aet_005_cry_n.dds,1024x1024,BC1_UNORM
8398,6-3_match\bgcommon\world\aet\006\texture\w_aet_006_cry_d.dds,512x512,BC1_UNORM
8398,7-0_match\bgcommon\world\aet\006\texture\w_aet_006_cry_d.dds,1024x1024,BC1_UNORM
8399,6-3_match\bgcommon\world\aet\006\texture\w_aet_006_cry_n.dds,512x512,BC1_UNORM
8399,7-0_match\bgcommon\world\aet\006\texture\w_aet_006_cry_n.dds,1024x1024,BC1_UNORM
8404,6-3_match\bgcommon\world\aet\007\texture\w_aet_007_cry_d.dds,512x512,BC1_UNORM
8404,7-0_match\bgcommon\world\aet\007\texture\w_aet_007_cry_d.dds,1024x1024,BC1_UNORM
8405,6-3_match\bgcommon\world\aet\007\texture\w_aet_007_cry_n.dds,512x512,BC1_UNORM
8405,7-0_match\bgcommon\world\aet\007\texture\w_aet_007_cry_n.dds,1024x1024,BC1_UNORM
8416,6-3_match\bgcommon\world\aet\008\texture\w_aet_008_cry_d.dds,512x512,BC1_UNORM
8416,7-0_match\bgcommon\world\aet\008\texture\w_aet_008_cry_d.dds,1024x1024,BC1_UNORM
8417,6-3_match\bgcommon\world\aet\008\texture\w_aet_008_cry_n.dds,512x512,BC1_UNORM
8417,7-0_match\bgcommon\world\aet\008\texture\w_aet_008_cry_n.dds,1024x1024,BC1_UNORM
8418,6-3_match\bgcommon\world\aet\009\texture\w_aet_009_cry_d.dds,512x512,BC1_UNORM
8418,7-0_match\bgcommon\world\aet\009\texture\w_aet_009_cry_d.dds,1024x1024,BC1_UNORM
8419,6-3_match\bgcommon\world\aet\009\texture\w_aet_009_cry_n.dds,512x512,BC1_UNORM
8419,7-0_match\bgcommon\world\aet\009\texture\w_aet_009_cry_n.dds,1024x1024,BC1_UNORM
8430,6-3_match\bgcommon\world\aet\011\texture\w_aet_011_cry_d.dds,512x512,BC1_UNORM
