index,filename,dimensions,format
3,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC3_UNORM
3,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC7_UNORM
5,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC3_UNORM
5,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC7_UNORM
11,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC3_UNORM
11,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC7_UNORM
13,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_n.dds,512x512,BC1_UNORM
13,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_n.dds,512x512,BC7_UNORM
14,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC3_UNORM
14,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC7_UNORM
15,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a3_d.dds,512x512,BC3_UNORM
15,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a3_d.dds,512x512,BC7_UNORM
16,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a4_d.dds,512x512,BC3_UNORM
16,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a4_d.dds,512x512,BC7_UNORM
17,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a5_d.dds,512x512,BC1_UNORM
17,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a5_d.dds,512x512,BC7_UNORM
18,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a6_d.dds,512x512,BC1_UNORM
18,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a6_d.dds,512x512,BC7_UNORM
19,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a7_d.dds,512x512,BC1_UNORM
19,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0003_a7_d.dds,512x512,BC7_UNORM
21,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0004_a0_n.dds,512x512,BC3_UNORM
21,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0004_a0_n.dds,512x512,BC7_UNORM
23,6-3_match\bgcommon\hou\common\factory\texture\fac_b0_m0008_a0_n.dds,256x256,BC3_UNORM
23,7-0_match\bgcommon\hou\common\factory\texture\fac_b0_m0008_a0_n.dds,256x256,BC7_UNORM
