index,filename,dimensions,format
0,7-0_output\bgcommon\collision\texture\collision_d.dds,32x32,BC1_UNORM
1,7-0_output\bgcommon\collision\texture\id_d.dds,32x32,BC1_UNORM
2,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC3_UNORM
2,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC7_UNORM
3,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC3_UNORM
3,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC7_UNORM
4,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC3_UNORM
4,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC7_UNORM
5,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_n.dds,512x512,BC1_UNORM
5,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a1_n.dds,512x512,BC7_UNORM
6,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC3_UNORM
6,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC7_UNORM
7,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a3_d.dds,512x512,BC3_UNORM
7,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a3_d.dds,512x512,BC7_UNORM
8,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a4_d.dds,512x512,BC3_UNORM
8,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a4_d.dds,512x512,BC7_UNORM
9,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a5_d.dds,512x512,BC1_UNORM
9,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a5_d.dds,512x512,BC7_UNORM
10,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a6_d.dds,512x512,BC1_UNORM
10,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a6_d.dds,512x512,BC7_UNORM
11,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a7_d.dds,512x512,BC1_UNORM
11,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a7_d.dds,512x512,BC7_UNORM
12,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0004_a0_n.dds,512x512,BC3_UNORM
12,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0004_a0_n.dds,512x512,BC7_UNORM
13,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0008_a0_n.dds,256x256,BC3_UNORM
13,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0008_a0_n.dds,256x256,BC7_UNORM
14,6-3_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_n.dds,512x512,BC3_UNORM
14,7-0_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_n.dds,512x512,BC7_UNORM
15,6-3_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a4_n.dds,512x512,BC3_UNORM
15,7-0_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a4_n.dds,512x512,BC7_UNORM
16,6-3_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a5_d.dds,256x256,BC1_UNORM
16,7-0_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a5_d.dds,256x256,BC7_UNORM
17,6-3_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a6_n.dds,512x512,BC3_UNORM
17,7-0_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a6_n.dds,512x512,BC7_UNORM
18,6-3_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a7_n.dds,512x512,BC3_UNORM
18,7-0_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a7_n.dds,512x512,BC7_UNORM
19,6-3_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a8_n.dds,512x512,BC3_UNORM
19,7-0_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a8_n.dds,512x512,BC7_UNORM
20,6-3_output\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0d_n.dds,256x256,BC3_UNORM
20,7-0_output\bgcommon\hou\common\general\0001\texture\com_b0_m0001_0d_n.dds,256x256,BC7_UNORM
21,6-3_output\bgcommon\hou\common\general\0003\texture\com_b0_m0003_0b_d.dds,256x256,BC1_UNORM
21,7-0_output\bgcommon\hou\common\general\0003\texture\com_b0_m0003_0b_d.dds,256x256,BC7_UNORM
22,6-3_output\bgcommon\hou\common\mantion\texture\man_c0_chr03_n.dds,512x512,BC1_UNORM
22,7-0_output\bgcommon\hou\common\mantion\texture\man_c0_chr03_n.dds,512x512,BC7_UNORM
23,6-3_output\bgcommon\hou\common\mantion\texture\man_c0_com0001_0a_n.dds,512x512,BC1_UNORM
