index,filename,dimensions,format
2,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC3_UNORM
2,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a0_n.dds,512x512,BC7_UNORM
3,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC3_UNORM
3,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0001_a1_n.dds,512x512,BC7_UNORM
4,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC3_UNORM
4,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a0_n.dds,512x512,BC7_UNORM
6,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC3_UNORM
6,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a2_d.dds,512x512,BC7_UNORM
7,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a3_d.dds,512x512,BC3_UNORM
7,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a3_d.dds,512x512,BC7_UNORM
8,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a4_d.dds,512x512,BC3_UNORM
8,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0003_a4_d.dds,512x512,BC7_UNORM
12,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0004_a0_n.dds,512x512,BC3_UNORM
12,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0004_a0_n.dds,512x512,BC7_UNORM
13,6-3_output\bgcommon\hou\common\factory\texture\fac_b0_m0008_a0_n.dds,256x256,BC3_UNORM
13,7-0_output\bgcommon\hou\common\factory\texture\fac_b0_m0008_a0_n.dds,256x256,BC7_UNORM
14,6-3_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_n.dds,512x512,BC3_UNORM
14,7-0_output\bgcommon\hou\common\factory\texture\fac_c0_rom0001_a3_n.dds,512x512,BC7_UNORM
