Group ID,Filename,Folder,Size (KB),Dimensions,Match %

0,v01_c0101a0001_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0001\texture,10,128 x 128,99

0,v01_c0101a0001_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0001\texture,10,128 x 128,99

1,v01_c0101a0001_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0001\texture,16,256 x 128,99

1,v01_c0101a0001_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0001\texture,16,256 x 128,99

2,v01_c0101a0001_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0001\texture,9,256 x 64,99

2,v01_c0101a0001_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0001\texture,9,256 x 64,99

3,v01_c0101a0002_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0002\texture,4,128 x 128,99

3,v01_c0101a0002_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0002\texture,4,128 x 128,99

4,v01_c0101a0002_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0002\texture,6,256 x 128,99

4,v01_c0101a0002_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0002\texture,6,256 x 128,99

5,v01_c0101a0003_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0003\texture,17,128 x 128,99

5,v01_c0101a0003_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0003\texture,17,128 x 128,99

6,v01_c0101a0003_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0003\texture,32,256 x 128,99

6,v01_c0101a0003_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0003\texture,32,256 x 128,99

7,v01_c0101a0003_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0003\texture,18,128 x 128,99

7,v01_c0101a0003_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0003\texture,18,128 x 128,99

8,v01_c0101a0003_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0003\texture,39,256 x 128,99

8,v01_c0101a0003_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0003\texture,38,256 x 128,99

9,v01_c0101a0005_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0005\texture,6,64 x 128,99

9,v01_c0101a0005_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0005\texture,6,64 x 128,99

10,v01_c0101a0005_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0005\texture,6,64 x 128,99

10,v01_c0101a0005_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0005\texture,6,64 x 128,99

11,v01_c0101a0005_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0005\texture,28,128 x 256,99

11,v01_c0101a0005_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0005\texture,28,128 x 256,99

12,v01_c0101a0006_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0006\texture,7,64 x 128,99

12,v01_c0101a0006_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0006\texture,7,64 x 128,99

13,v01_c0101a0006_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0006\texture,5,64 x 128,99

13,v01_c0101a0006_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0006\texture,5,64 x 128,99

14,v01_c0101a0006_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0006\texture,24,128 x 256,99

14,v01_c0101a0006_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0006\texture,24,128 x 256,99

15,v01_c0101a0007_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0007\texture,3,64 x 64,99

15,v01_c0101a0007_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0007\texture,3,64 x 64,99

16,v01_c0101a0007_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0007\texture,5,64 x 128,99

16,v01_c0101a0007_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0007\texture,5,64 x 128,99

17,v01_c0101a0007_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0007\texture,19,128 x 256,99

17,v01_c0101a0007_wrs_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0007\texture,18,128 x 256,99

18,v01_c0101a0009_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0009\texture,7,64 x 128,99

18,v01_c0101a0009_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0009\texture,7,64 x 128,99

19,v01_c0101a0010_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0010\texture,5,64 x 128,99

19,v01_c0101a0010_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0010\texture,5,64 x 128,99

20,v01_c0101a0010_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0010\texture,17,256 x 128,99

20,v01_c0101a0010_nek_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0010\texture,17,256 x 128,99

21,v01_c0101a0011_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0011\texture,11,128 x 128,99

21,v01_c0101a0011_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0011\texture,10,128 x 128,99

22,v01_c0101a0012_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0012\texture,10,128 x 128,99

22,v01_c0101a0011_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0011\texture,9,128 x 128,99

23,v01_c0101a0014_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0014\texture,3,64 x 64,99

23,v01_c0101a0013_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0013\texture,3,64 x 64,99

23,v01_c0101a0014_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0014\texture,3,64 x 64,99

24,v01_c0101a0015_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0015\texture,11,128 x 128,99

24,v01_c0101a0015_rir_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0015\texture,11,128 x 128,99

25,v01_c0101a0017_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0017\texture,8,64 x 128,99

25,v01_c0101a0017_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0017\texture,7,64 x 128,99

26,v01_c0101a0018_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_n_RGB\chara\accessory\a0018\texture,14,128 x 128,99

26,v01_c0101a0018_ear_n.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_n_RGB\accessory\a0018\texture,14,128 x 128,99

