Name,ModelPath,ModelType,MaterialPaths
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
Nathaxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Ameexia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Knolexia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Komuxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Pelixia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Dellexia,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Qiqirn trader,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
Kyokyoroon,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
Sweetnix Rosycheeks,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
Mamool Ja marketeer,chara/demihuman/d1008/obj/equipment/e0001/model/d1008e0001_0001.mdl,Demihuman,
Mutamix Bubblypots,chara/demihuman/d1004/obj/equipment/e0001/model/d1004e0001_0001.mdl,Demihuman,
Slugger,chara/demihuman/d0001/obj/equipment/e0001/model/d0001e0001_0001.mdl,Demihuman,
shaggy sheep,chara/monster/m0086/obj/body/b0001/model/m0086b0001.mdl,Monster,
shaggy sheep,chara/monster/m0086/obj/body/b0001/model/m0086b0001.mdl,Monster,
shaggy sheep,chara/monster/m0086/obj/body/b0001/model/m0086b0001.mdl,Monster,
bolting dodo,chara/monster/m0044/obj/body/b0001/model/m0044b0001.mdl,Monster,
bolting dodo,chara/monster/m0044/obj/body/b0001/model/m0044b0001.mdl,Monster,
bolting dodo,chara/monster/m0044/obj/body/b0001/model/m0044b0001.mdl,Monster,
delivery moogle,chara/demihuman/d1013/obj/equipment/e0001/model/d1013e0001_0001.mdl,Demihuman,
Claxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Claxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
sylvan budnapper,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Kuplu Kopo,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Claxio,chara/demihuman/d1005/obj/equipment/e0001/model/d1005e0001_0001.mdl,Demihuman,
Kuplu Kopo,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
Kuplo Kopp,chara/demihuman/d1006/obj/equipment/e0001/model/d1006e0001_0001.mdl,Demihuman,
enraged Amalj'aa,chara/demihuman/d1001/obj/equipment/e0001/model/d1001e0001_0001.mdl,Demihuman,
junkmonger,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
junkmonger,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
Chuchuroon,chara/demihuman/d1012/obj/equipment/e0001/model/d1012e0001_0001.mdl,Demihuman,
