SetId: 2, Entry: 180109900234358784 (unchanged)
SetId: 11, Entry: 234153095762804736 (unchanged)
SetId: 19, Entry: 234153095762804736 (unchanged)
SetId: 20, Entry: 234153095762804736 (unchanged)
SetId: 21, Entry: 234153095762804736 (unchanged)
SetId: 22, Entry: 234153095762804736 (unchanged)
SetId: 25, Entry: 233519777065205760 (unchanged)
SetId: 39, Entry: 234153095762804736 (unchanged)
SetId: 42, Entry: 233097564600139776 (unchanged)
SetId: 44, Entry: 234153095762804736 (unchanged)
SetId: 65, Entry: 234153095762804736 (unchanged)
SetId: 67, Entry: 234153095762804736 (unchanged)
SetId: 79, Entry: 234153095762804736 (unchanged)
SetId: 82, Entry: 234153095762804736 (unchanged)
SetId: 83, Entry: 234153095762804736 (unchanged)
SetId: 98, Entry: 234153095762804736 (unchanged)
SetId: 106, Entry: 252167494272286720 (unchanged)
SetId: 112, Entry: 252167494272286720 (unchanged)
SetId: 121, Entry: 234153095762804736 (unchanged)
SetId: 132, Entry: 252167494272286720 (unchanged)
SetId: 146, Entry: 234153095762804736 (unchanged)
SetId: 149, Entry: 234153095762804736 (unchanged)
SetId: 153, Entry: 234153095762804736 (unchanged)
SetId: 160, Entry: 234153095762804736 (unchanged)
SetId: 161, Entry: 234153095762804736 (unchanged)
SetId: 167, Entry: 234153095762804736 (unchanged)
SetId: 178, Entry: 252167494272286720 (unchanged)
SetId: 179, Entry: 252167494272286720 (unchanged)
SetId: 180, Entry: 234153095762804736 (unchanged)
SetId: 181, Entry: 162095501724876800 (unchanged)
SetId: 188, Entry: 252167494272286720 (unchanged)
SetId: 189, Entry: 252167494272286720 (unchanged)
SetId: 190, Entry: 252167494272286720 (unchanged)
SetId: 192, Entry: 234153095762804736 (unchanged)
SetId: 199, Entry: 234153095762804736 (unchanged)
SetId: 203, Entry: 252167494272286720 (unchanged)
SetId: 205, Entry: 234153095762804736 (unchanged)
SetId: 206, Entry: 234153095762804736 (unchanged)
SetId: 208, Entry: 234153095762804736 (unchanged)
SetId: 212, Entry: 234153095762804736 (unchanged)
SetId: 215, Entry: 234153095762804736 (unchanged)
SetId: 221, Entry: 234153095762804736 (unchanged)
SetId: 224, Entry: 234153095762804736 (unchanged)
SetId: 227, Entry: 234153095762804736 (unchanged)
SetId: 229, Entry: 234153095762804736 (unchanged)
SetId: 230, Entry: 234153095762804736 (unchanged)
SetId: 235, Entry: 234153095762804736 (unchanged)
SetId: 240, Entry: 234153095762804736 (unchanged)
SetId: 243, Entry: 234153095762804736 (unchanged)
SetId: 244, Entry: 234153095762804736 (unchanged)
SetId: 245, Entry: 234153095762804736 (unchanged)
SetId: 246, Entry: 234153095762804736 (unchanged)
SetId: 249, Entry: 234153095762804736 (unchanged)
SetId: 250, Entry: 234153095762804736 (unchanged)
SetId: 265, Entry: 234153095762804736 (unchanged)
SetId: 271, Entry: 234153095762804736 (unchanged)
SetId: 275, Entry: 234153095762804736 (unchanged)
SetId: 279, Entry: 234153095762804736 (unchanged)
SetId: 283, Entry: 234153095762804736 (unchanged)
SetId: 289, Entry: 234153095762804736 (unchanged)
SetId: 291, Entry: 234153095762804736 (unchanged)
SetId: 303, Entry: 234153095762804736 (unchanged)
SetId: 306, Entry: 234153095762804736 (unchanged)
SetId: 318, Entry: 234153095762804736 (unchanged)
SetId: 319, Entry: 234153095762804736 (unchanged)
SetId: 320, Entry: 252167494272286720 (unchanged)
SetId: 323, Entry: 234153095762804736 (unchanged)
SetId: 325, Entry: 234153095762804736 (unchanged)
SetId: 329, Entry: 234153095762804736 (unchanged)
SetId: 332, Entry: 162095501724876800 (unchanged)
SetId: 340, Entry: 234153095762804736 (unchanged)
SetId: 341, Entry: 234153095762804736 (unchanged)
SetId: 342, Entry: 234153095762804736 (unchanged)
SetId: 343, Entry: 234153095762804736 (unchanged)
SetId: 345, Entry: 234153095762804736 (unchanged)
SetId: 348, Entry: 234153095762804736 (unchanged)
SetId: 352, Entry: 234153095762804736 (unchanged)
SetId: 354, Entry: 234153095762804736 (unchanged)
SetId: 355, Entry: 234153095762804736 (unchanged)
SetId: 361, Entry: 252167494272286720 (unchanged)
SetId: 362, Entry: 234153095762804736 (unchanged)
SetId: 363, Entry: 234153095762804736 (unchanged)
SetId: 364, Entry: 234153095762804736 (unchanged)
SetId: 367, Entry: 234153095762804736 (unchanged)
SetId: 370, Entry: 234153095762804736 (unchanged)
SetId: 371, Entry: 234153095762804736 (unchanged)
SetId: 379, Entry: 252167494272286720 (unchanged)
SetId: 384, Entry: 252167494272286720 (unchanged)
SetId: 397, Entry: 234153095762804736 (unchanged)
SetId: 399, Entry: 234153095762804736 (unchanged)
SetId: 400, Entry: 252167494272286720 (unchanged)
SetId: 403, Entry: 234153095762804736 (unchanged)
SetId: 404, Entry: 234153095762804736 (unchanged)
SetId: 405, Entry: 234153095762804736 (unchanged)
SetId: 406, Entry: 234153095762804736 (unchanged)
SetId: 408, Entry: 162095501724876800 (unchanged)
SetId: 409, Entry: 162095501724876800 (unchanged)
SetId: 413, Entry: 252167494272286720 (unchanged)
SetId: 415, Entry: 234153095762804736 (unchanged)
SetId: 419, Entry: 252167494272286720 (unchanged)
SetId: 423, Entry: 234153095762804736 (unchanged)
SetId: 424, Entry: 234153095762804736 (unchanged)
SetId: 425, Entry: 234153095762804736 (unchanged)
SetId: 427, Entry: 234153095762804736 (unchanged)
SetId: 430, Entry: 234153095762804736 (unchanged)
SetId: 431, Entry: 234153095762804736 (unchanged)
SetId: 441, Entry: 252167494272286720 (unchanged)
SetId: 456, Entry: 234153095762804736 (unchanged)
SetId: 457, Entry: 234153095762804736 (unchanged)
SetId: 461, Entry: 234153095762804736 (unchanged)
SetId: 463, Entry: 234153095762804736 (unchanged)
SetId: 465, Entry: 233379039576850432 (unchanged)
SetId: 468, Entry: 233379039576850432 (unchanged)
SetId: 471, Entry: 233379039576850432 (unchanged)
SetId: 473, Entry: 233379039576850432 (unchanged)
SetId: 483, Entry: 234153095762804736 (unchanged)
SetId: 490, Entry: 234153095762804736 (unchanged)
SetId: 491, Entry: 234153095762804736 (unchanged)
SetId: 492, Entry: 234153095762804736 (unchanged)
SetId: 493, Entry: 234153095762804736 (unchanged)
SetId: 494, Entry: 233361447390806016 (unchanged)
SetId: 501, Entry: 234153095762804736 (unchanged)
SetId: 504, Entry: 234153095762804736 (unchanged)
SetId: 505, Entry: 522383471914516480 (unchanged)
SetId: 506, Entry: 234153095762804736 (unchanged)
SetId: 507, Entry: 234153095762804736 (unchanged)
SetId: 508, Entry: 234153095762804736 (unchanged)
SetId: 509, Entry: 234153095762804736 (unchanged)
SetId: 510, Entry: 234153095762804736 (unchanged)
SetId: 511, Entry: 234153095762804736 (unchanged)
SetId: 512, Entry: 234153095762804736 (unchanged)
SetId: 513, Entry: 252167494272286720 (unchanged)
SetId: 515, Entry: 234153095762804736 (unchanged)
SetId: 520, Entry: 234153095762804736 (unchanged)
SetId: 525, Entry: 234153095762804736 (unchanged)
SetId: 527, Entry: 234153095762804736 (unchanged)
SetId: 528, Entry: 234153095762804736 (unchanged)
SetId: 534, Entry: 234153095762804736 (unchanged)
SetId: 536, Entry: 234153095762804736 (unchanged)
SetId: 540, Entry: 234153095762804736 (unchanged)
SetId: 542, Entry: 234153095762804736 (unchanged)
SetId: 543, Entry: 234153095762804736 (unchanged)
SetId: 545, Entry: 234153095762804736 (unchanged)
SetId: 550, Entry: 234153095762804736 (unchanged)
SetId: 557, Entry: 234153095762804736 (unchanged)
SetId: 558, Entry: 234153095762804736 (unchanged)
SetId: 563, Entry: 234153095762804736 (unchanged)
SetId: 565, Entry: 234153095762804736 (unchanged)
SetId: 567, Entry: 234153095762804736 (unchanged)
SetId: 568, Entry: 234153095762804736 (unchanged)
SetId: 569, Entry: 234153095762804736 (unchanged)
SetId: 570, Entry: 234153095762804736 (unchanged)
SetId: 571, Entry: 234153095762804736 (unchanged)
SetId: 574, Entry: 234153095762804736 (unchanged)
SetId: 575, Entry: 234153095762804736 (unchanged)
SetId: 576, Entry: 234153095762804736 (unchanged)
SetId: 577, Entry: 234153095762804736 (unchanged)
SetId: 582, Entry: 234153095762804736 (unchanged)
SetId: 583, Entry: 234153095762804736 (unchanged)
SetId: 592, Entry: 234153095762804736 (unchanged)
SetId: 594, Entry: 234153095762804736 (unchanged)
SetId: 600, Entry: 234153095762804736 (unchanged)
SetId: 608, Entry: 234153095762804736 (unchanged)
SetId: 610, Entry: 234153095762804736 (unchanged)
SetId: 615, Entry: 234153095762804736 (unchanged)
SetId: 616, Entry: 234153095762804736 (unchanged)
SetId: 617, Entry: 234153095762804736 (unchanged)
SetId: 618, Entry: 234153095762804736 (unchanged)
SetId: 619, Entry: 234153095762804736 (unchanged)
SetId: 620, Entry: 234153095762804736 (unchanged)
SetId: 626, Entry: 234135503576760320 (unchanged)
SetId: 629, Entry: 234153095762804736 (unchanged)
SetId: 642, Entry: 234153095762804736 (unchanged)
SetId: 648, Entry: 234153095762804736 (unchanged)
SetId: 649, Entry: 234153095762804736 (unchanged)
SetId: 650, Entry: 234153095762804736 (unchanged)
SetId: 651, Entry: 234153095762804736 (unchanged)
SetId: 653, Entry: 234153095762804736 (unchanged)
SetId: 659, Entry: 234153095762804736 (unchanged)
SetId: 663, Entry: 234153095762804736 (unchanged)
SetId: 669, Entry: 234153095762804736 (unchanged)
SetId: 671, Entry: 234153095762804736 (unchanged)
SetId: 678, Entry: 234153095762804736 (unchanged)
SetId: 679, Entry: 234153095762804736 (unchanged)
SetId: 683, Entry: 234153095762804736 (unchanged)
SetId: 685, Entry: 234153095762804736 (unchanged)
SetId: 687, Entry: 234153095762804736 (unchanged)
SetId: 689, Entry: 234153095762804736 (unchanged)
SetId: 691, Entry: 234153095762804736 (unchanged)
SetId: 693, Entry: 234153095762804736 (unchanged)
SetId: 694, Entry: 234153095762804736 (unchanged)
SetId: 696, Entry: 234153095762804736 (unchanged)
SetId: 698, Entry: 234153095762804736 (unchanged)
SetId: 699, Entry: 234153095762804736 (unchanged)
SetId: 703, Entry: 234153095762804736 (unchanged)
SetId: 712, Entry: 234153095762804736 (unchanged)
SetId: 713, Entry: 252167494272286720 (unchanged)
SetId: 715, Entry: 234153095762804736 (unchanged)
SetId: 717, Entry: 234153095762804736 (unchanged)
SetId: 724, Entry: 287147357198352384 (unchanged)
SetId: 725, Entry: 234153095762804736 (unchanged)
SetId: 726, Entry: 234153095762804736 (unchanged)
SetId: 727, Entry: 234153095762804736 (unchanged)
SetId: 728, Entry: 234153095762804736 (unchanged)
SetId: 737, Entry: 234153095762804736 (unchanged)
SetId: 738, Entry: 234153095762804736 (unchanged)
SetId: 739, Entry: 234153095762804736 (unchanged)
SetId: 742, Entry: 234117911390715904 (unchanged)
SetId: 743, Entry: 234153095762804736 (unchanged)
SetId: 745, Entry: 234153095762804736 (unchanged)
SetId: 746, Entry: 234153095762804736 (unchanged)
SetId: 747, Entry: 234153095762804736 (unchanged)
SetId: 748, Entry: 234153095762804736 (unchanged)
SetId: 750, Entry: 234153095762804736 (unchanged)
SetId: 751, Entry: 234153095762804736 (unchanged)
SetId: 752, Entry: 234153095762804736 (unchanged)
SetId: 753, Entry: 234153095762804736 (unchanged)
SetId: 760, Entry: 234153095762804736 (unchanged)
SetId: 765, Entry: 234153095762804736 (unchanged)
SetId: 766, Entry: 234153095762804736 (unchanged)
SetId: 769, Entry: 234153095762804736 (unchanged)
SetId: 771, Entry: 234153095762804736 (unchanged)
SetId: 772, Entry: 234153095762804736 (unchanged)
SetId: 773, Entry: 234153095762804736 (unchanged)
SetId: 774, Entry: 234153095762804736 (unchanged)
SetId: 777, Entry: 234153095762804736 (unchanged)
SetId: 779, Entry: 234153095762804736 (unchanged)
SetId: 780, Entry: 234153095762804736 (unchanged)
SetId: 781, Entry: 234153095762804736 (unchanged)
SetId: 783, Entry: 249645214598168576 (unchanged)
SetId: 785, Entry: 234153095762804736 (unchanged)
SetId: 787, Entry: 234153095762804736 (unchanged)
SetId: 788, Entry: 234153095762804736 (unchanged)
SetId: 789, Entry: 234153095762804736 (unchanged)
SetId: 791, Entry: 234153095762804736 (unchanged)
SetId: 793, Entry: 252167494272286720 (unchanged)
SetId: 797, Entry: 249645214598168576 (unchanged)
SetId: 799, Entry: 231630816088686592 (unchanged)
SetId: 802, Entry: 234153095762804736 (unchanged)
SetId: 809, Entry: 540116395447287808 (unchanged)
SetId: 813, Entry: 234153095762804736 (unchanged)
SetId: 814, Entry: 234153095762804736 (unchanged)
SetId: 815, Entry: 234153095762804736 (unchanged)
SetId: 817, Entry: 234153095762804736 (unchanged)
SetId: 818, Entry: 234153095762804736 (unchanged)
SetId: 819, Entry: 234153095762804736 (unchanged)
SetId: 821, Entry: 234153095762804736 (unchanged)
SetId: 823, Entry: 234153095762804736 (unchanged)
SetId: 824, Entry: 234153095762804736 (unchanged)
SetId: 826, Entry: 234153095762804736 (unchanged)
SetId: 830, Entry: 234153095762804736 (unchanged)
SetId: 831, Entry: 234153095762804736 (unchanged)
SetId: 832, Entry: 234153095762804736 (unchanged)
SetId: 834, Entry: 234153095762804736 (unchanged)
SetId: 835, Entry: 234153095762804736 (unchanged)
SetId: 839, Entry: 234153095762804736 (unchanged)
SetId: 846, Entry: 224079370229121024 (unchanged)
SetId: 847, Entry: 252178489388564480 (unchanged)
SetId: 848, Entry: 234153095762804736 (unchanged)
SetId: 853, Entry: 234153095762804736 (unchanged)
SetId: 5001, Entry: 234153095762804736 (unchanged)
SetId: 5002, Entry: 234153095762804736 (unchanged)
SetId: 5003, Entry: 234153095762804736 (unchanged)
SetId: 5004, Entry: 234153095762804736 (unchanged)
SetId: 5005, Entry: 234153095762804736 (unchanged)
SetId: 5006, Entry: 234153095762804736 (unchanged)
SetId: 5007, Entry: 234153095762804736 (unchanged)
SetId: 5008, Entry: 234153095762804736 (unchanged)
SetId: 5009, Entry: 234153095762804736 (unchanged)
SetId: 5010, Entry: 234153095762804736 (unchanged)
SetId: 5011, Entry: 234153095762804736 (unchanged)
SetId: 5012, Entry: 234153095762804736 (unchanged)
SetId: 5013, Entry: 234153095762804736 (unchanged)
SetId: 5014, Entry: 234153095762804736 (unchanged)
SetId: 5015, Entry: 234153095762804736 (unchanged)
SetId: 5016, Entry: 234153095762804736 (unchanged)
SetId: 5019, Entry: 234153095762804736 (unchanged)
SetId: 5020, Entry: 234153095762804736 (unchanged)
SetId: 5021, Entry: 234153095762804736 (unchanged)
SetId: 5026, Entry: 234153095762804736 (unchanged)
SetId: 5027, Entry: 234153095762804736 (unchanged)
SetId: 5029, Entry: 252167494272286720 (unchanged)
SetId: 5030, Entry: 234153095762804736 (unchanged)
SetId: 5031, Entry: 234153095762804736 (unchanged)
SetId: 5032, Entry: 234153095762804736 (unchanged)
SetId: 5033, Entry: 234153095762804736 (unchanged)
SetId: 5034, Entry: 234153095762804736 (unchanged)
SetId: 5035, Entry: 234153095762804736 (unchanged)
SetId: 5036, Entry: 234153095762804736 (unchanged)
SetId: 5037, Entry: 234153095762804736 (unchanged)
SetId: 5038, Entry: 234153095762804736 (unchanged)
SetId: 5041, Entry: 234153095762804736 (unchanged)
SetId: 5042, Entry: 234153095762804736 (unchanged)
SetId: 5043, Entry: 234153095762804736 (unchanged)
SetId: 5044, Entry: 234153095762804736 (unchanged)
SetId: 5045, Entry: 234153095762804736 (unchanged)
SetId: 5046, Entry: 234153095762804736 (unchanged)
SetId: 5047, Entry: 234153095762804736 (unchanged)
SetId: 5048, Entry: 234153095762804736 (unchanged)
SetId: 5049, Entry: 234153095762804736 (unchanged)
SetId: 5050, Entry: 234153095762804736 (unchanged)
SetId: 5051, Entry: 234153095762804736 (unchanged)
SetId: 5052, Entry: 234153095762804736 (unchanged)
SetId: 5053, Entry: 234153095762804736 (unchanged)
SetId: 5054, Entry: 234153095762804736 (unchanged)
SetId: 5055, Entry: 234153095762804736 (unchanged)
SetId: 5056, Entry: 234153095762804736 (unchanged)
SetId: 5057, Entry: 234153095762804736 (unchanged)
SetId: 5058, Entry: 234153095762804736 (unchanged)
SetId: 5059, Entry: 234153095762804736 (unchanged)
SetId: 5060, Entry: 234153095762804736 (unchanged)
SetId: 5061, Entry: 234153095762804736 (unchanged)
SetId: 5062, Entry: 234153095762804736 (unchanged)
SetId: 5063, Entry: 234153095762804736 (unchanged)
SetId: 5064, Entry: 234153095762804736 (unchanged)
SetId: 5065, Entry: 234153095762804736 (unchanged)
SetId: 5066, Entry: 234153095762804736 (unchanged)
SetId: 5501, Entry: 234153095762804736 (unchanged)
SetId: 5502, Entry: 234153095762804736 (unchanged)
SetId: 5503, Entry: 234153095762804736 (unchanged)
SetId: 5504, Entry: 234153095762804736 (unchanged)
SetId: 5505, Entry: 234153095762804736 (unchanged)
SetId: 5506, Entry: 234153095762804736 (unchanged)
SetId: 5507, Entry: 234153095762804736 (unchanged)
SetId: 5508, Entry: 234153095762804736 (unchanged)
SetId: 5509, Entry: 234153095762804736 (unchanged)
SetId: 5510, Entry: 234153095762804736 (unchanged)
SetId: 6005, Entry: 234153095762804736 (unchanged)
SetId: 6006, Entry: 234153095762804736 (unchanged)
SetId: 6016, Entry: 234153095762804736 (unchanged)
SetId: 6017, Entry: 234153095762804736 (unchanged)
SetId: 6018, Entry: 234153095762804736 (unchanged)
SetId: 6022, Entry: 234153095762804736 (unchanged)
SetId: 6026, Entry: 234153095762804736 (unchanged)
SetId: 6027, Entry: 234153095762804736 (unchanged)
SetId: 6028, Entry: 234153095762804736 (unchanged)
SetId: 6029, Entry: 234153095762804736 (unchanged)
SetId: 6031, Entry: 234153095762804736 (unchanged)
SetId: 6032, Entry: 162095501724876800 (unchanged)
SetId: 6039, Entry: 234153095762804736 (unchanged)
SetId: 6040, Entry: 234153095762804736 (unchanged)
SetId: 6041, Entry: 234153095762804736 (unchanged)
SetId: 6044, Entry: 234153095762804736 (unchanged)
SetId: 6047, Entry: 222612621717667840 (unchanged)
SetId: 6052, Entry: 234153095762804736 (unchanged)
SetId: 6061, Entry: 234153095762804736 (unchanged)
SetId: 6063, Entry: 234153095762804736 (unchanged)
SetId: 6067, Entry: 234153095762804736 (unchanged)
SetId: 6072, Entry: 234153095762804736 (unchanged)
SetId: 6085, Entry: 234153095762804736 (unchanged)
SetId: 6092, Entry: 234153095762804736 (unchanged)
SetId: 6093, Entry: 234153095762804736 (unchanged)
SetId: 6094, Entry: 234153095762804736 (unchanged)
SetId: 6095, Entry: 234153095762804736 (unchanged)
SetId: 6106, Entry: 234153095762804736 (unchanged)
SetId: 6114, Entry: 234153095762804736 (unchanged)
SetId: 6125, Entry: 234153095762804736 (unchanged)
SetId: 6126, Entry: 234153095762804736 (unchanged)
SetId: 6128, Entry: 234153095762804736 (unchanged)
SetId: 6137, Entry: 234153095762804736 (unchanged)
SetId: 6138, Entry: 234153095762804736 (unchanged)
SetId: 6157, Entry: 234153095762804736 (unchanged)
SetId: 6159, Entry: 234153095762804736 (unchanged)
SetId: 6164, Entry: 234153095762804736 (unchanged)
SetId: 6167, Entry: 234153095762804736 (unchanged)
SetId: 6169, Entry: 234153095762804736 (unchanged)
SetId: 6177, Entry: 234153095762804736 (unchanged)
SetId: 6180, Entry: 249645214598168576 (unchanged)
SetId: 6181, Entry: 234153095762804736 (unchanged)
SetId: 6191, Entry: 234153095762804736 (unchanged)
SetId: 9017, Entry: 162095501724876800 (unchanged)
SetId: 9156, Entry: 161321445538922496 (unchanged)
SetId: 9187, Entry: 234153095762804736 (unchanged)
SetId: 9188, Entry: 234153095762804736 (unchanged)
SetId: 9212, Entry: 234153095762804736 (unchanged)
SetId: 9213, Entry: 222898494740889600 (unchanged)
SetId: 9218, Entry: 234153095762804736 (unchanged)
SetId: 9222, Entry: 234153095762804736 (unchanged)
SetId: 9223, Entry: 234153095762804736 (unchanged)
SetId: 9224, Entry: 234153095762804736 (unchanged)
SetId: 9227, Entry: 234153095762804736 (unchanged)
SetId: 9232, Entry: 234153095762804736 (unchanged)
SetId: 9233, Entry: 234153095762804736 (unchanged)
SetId: 9236, Entry: 217552669206642688 (unchanged)
SetId: 9246, Entry: 450325877876588544 (unchanged)
